LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#]
10/18/2022 10:22,291.4326,97.69,3786,402.29,405.67,2.0221E+13,2197,L12_NEE,-8.5264,-8.5264,314,19,0,5,0.99943,0.99943
10/18/2022 10:25,291.43431,98.07,3786,419.63,424.31,2.0221E+13,2197,L11_NEE,2.11727,2.11727,314,19,0,5,0.99504,0.99504
10/18/2022 10:27,291.4358,98.06,3786,408.89,412.82,2.0221E+13,2197,L13_NEE,1.71846,1.68021,314,19,0,5,0.99521,0.99519
10/18/2022 10:29,291.43735,98.16,3786,417.29,420.28,2.0221E+13,2197,L21_NEE,-3.17962,-3.17962,314,19,0,5,0.99539,0.99539
10/18/2022 10:31,291.43872,98.09,3943,410.3,415.31,2.0221E+13,2197,L22_NEE,-2.40034,-2.40034,314,19,0,5.5,0.99531,0.99531
10/18/2022 10:33,291.44016,98.11,3786,406.7,411.79,2.0221E+13,2197,L23_NEE,-5.24291,-5.24291,314,19,0,5,0.99914,0.99914
10/18/2022 10:36,291.44197,98.09,3786,407.56,412.48,2.0221E+13,2197,L31_NEE,-3.0486,-3.0486,314,19,0,5,0.99542,0.99542
10/18/2022 10:38,291.44337,98.13,3943,406.98,411.92,2.0221E+13,2197,L32_NEE,-8.58755,-8.58755,314,19,0,5.5,0.99911,0.99911
10/18/2022 10:40,291.44475,98.11,4100,404.24,409.51,2.0221E+13,2197,L33_NEE,-6.26492,-6.26492,314,19,0,6,0.99705,0.99705
10/18/2022 10:42,291.4463,98.13,3786,407.56,412.81,2.0221E+13,2197,L41_NEE,-4.71217,-4.71217,314,19,0,5,0.99939,0.99939
10/18/2022 10:45,291.44792,98.13,3786,408.24,413.04,2.0221E+13,2197,L42_NEE,-1.72859,-1.72859,314,19,0,5,0.99303,0.99303
10/18/2022 10:47,291.44964,98.01,3943,404.67,409.39,2.0221E+13,2197,L43_NEE,-3.39951,-3.39951,314,19,0,5.5,0.99335,0.99335
10/18/2022 10:54,291.4544,97.82,6569.9,411.45,414.08,2.0221E+13,4823.9,L43_R,3.76914,3.60862,314,19,0,5.5,0.99629,0.99613
10/18/2022 10:56,291.45598,97.82,6412.9,412.47,415.74,2.0221E+13,4823.9,L42_R,2.76915,2.45404,314,19,0,5,0.99182,0.99076
10/18/2022 10:59,291.45784,97.8,6412.9,410.51,413.9,2.0221E+13,4823.9,L41_R,5.21579,4.97564,314,19,0,5,0.99751,0.99735
10/18/2022 11:02,291.46003,97.83,6726.9,411,413.88,2.0221E+13,4823.9,L33_R,3.07185,2.96654,314,19,0,6,0.99617,0.99608
10/18/2022 11:05,291.46185,97.82,6569.9,412.18,415.13,2.0221E+13,4823.9,L32_R,4.60633,4.14755,314,19,0,5.5,0.9941,0.99337
10/18/2022 11:07,291.46383,97.82,6412.9,412.01,414.89,2.0221E+13,4823.9,L31_R,2.97038,2.97038,314,19,0,5,0.99686,0.99686
10/18/2022 11:10,291.46596,97.83,6412.9,412.82,415.5,2.0221E+13,4823.9,L23_R,4.75808,3.99565,314,19,0,5,0.99349,0.99032
10/18/2022 11:13,291.4678,97.83,6569.9,412.28,414.87,2.0221E+13,4823.9,L22_R,1.96583,1.96583,314,19,0,5.5,0.99374,0.99374
10/18/2022 11:16,291.46986,97.99,6412.9,413.59,416.05,2.0221E+13,4823.9,L21_R,1.56757,1.56757,314,19,0,5,0.98611,0.98611
10/18/2022 11:19,291.47215,97.96,6412.9,417.03,420.13,2.0221E+13,4823.9,L13_R,3.09843,3.09843,314,19,0,5,0.97737,0.97737
10/18/2022 11:22,291.47373,97.85,6412.9,413.43,416.15,2.0221E+13,4823.9,L13_R_Att2,3.84156,3.05792,314,19,0,5,0.99631,0.99086
10/18/2022 11:24,291.47534,97.85,6412.9,412.87,415.42,2.0221E+13,4823.9,L12_R,3.27079,3.27079,314,19,0,5,0.99744,0.99744
10/18/2022 11:27,291.47709,97.85,6412.9,412.67,415.42,2.0221E+13,4823.9,L11_R,2.7106,2.7106,314,19,0,5,0.994,0.994
10/18/2022 11:43,291.48845,97.84,6412.9,416.44,419.14,2.0221E+13,4823.9,L21_R_Att2,1.80472,1.67708,314,19,0,5,0.97617,0.97579
10/18/2022 11:46,291.49056,97.82,6412.9,412.54,415.14,2.0221E+13,4823.9,L21_R_Att3,2.35056,2.35056,314,19,0,5,0.99724,0.99724
10/18/2022 14:15,291.59419,97.7,129677,407.67,410.73,2.0221E+13,127303,GL3_NEE,-55.68645,-55.68645,314,19,0,7.5,0.99701,0.99701
10/18/2022 14:25,291.60116,97.62,129520,405.61,409.5,2.0221E+13,127303,GL2_NEE,-36.1154,-35.80841,314,19,0,7,0.98604,0.98555
10/18/2022 14:28,291.60319,98.07,129520,391.32,397.69,2.0221E+13,127303,GL2_R,53.99783,47.76116,314,19,0,7,0.99273,0.99112
10/18/2022 14:36,291.60872,97.71,129677,406.01,409.19,2.0221E+13,127303,GL1_NEE_CLOUDS,-37.13809,-37.13809,314,19,0,7.5,0.99113,0.99113
10/18/2022 14:40,291.61132,98.08,129677,391.96,396.78,2.0221E+13,127303,GL1_R,52.49754,52.30355,314,19,0,7.5,0.9909,0.9909
10/18/2022 15:14,291.63495,97.65,129677,403.75,406.76,2.0221E+13,127303,GL1_NEE,-138.36065,-136.90156,314,19,0,7.5,0.98008,0.97962
